Age,Workclass,fnlwgt,maritial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hour_per_week,native country,class,education
41, Private,180138, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,50, Iran,>50K, Bachelors
40, Private,347890, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
42, Private,390781, Married_civ_spouse, Adm_clerical, Wife, Black, Female,0,0,40, United_States,<=50, Bachelors
36, Private,150042, Divorced, Prof_specialty, Own_child, White, Female,0,0,40, United_States,<=50, Bachelors
33, Private,185480, Never_married, Prof_specialty, Not_in_family, White, Female,0,0,45, United_States,<=50, Bachelors
22, Private,34918, Never_married, Prof_specialty, Not_in_family, White, Female,0,0,15, Germany,<=50, Bachelors
60, Private,173960, Divorced, Prof_specialty, Not_in_family, White, Female,0,0,42, United_States,<=50, Bachelors
25, Private,371987, Never_married, Exec_managerial, Not_in_family, White, Female,0,0,40, United_States,<=50, Bachelors
36, Private,200352, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,45, United_States,<=50, Bachelors
29, Local_gov,220419, Never_married, Protective_serv, Not_in_family, White, Male,0,0,56, United_States,<=50, Bachelors
27, Private,248402, Never_married, Tech_support, Unmarried, Black, Female,0,0,40, United_States,<=50, Bachelors
37, Self_emp_inc,57424, Divorced, Sales, Not_in_family, White, Female,0,0,60, United_States,<=50, Bachelors
48, Private,146268, Married_civ_spouse, Adm_clerical, Husband, White, Male,7688,0,40, United_States,>50K, Bachelors
26, Private,59306, Never_married, Sales, Not_in_family, White, Male,0,0,40, United_States,<=50, Bachelors
36, Self_emp_not_inc,205607, Divorced, Prof_specialty, Not_in_family, Black, Female,0,0,40, United_States,>50K, Bachelors
26, Private,224563, Never_married, Adm_clerical, Not_in_family, White, Male,0,0,40, United_States,<=50, Bachelors
43, Self_emp_not_inc,241895, Never_married, Sales, Not_in_family, White, Male,0,0,42, United_States,<=50, Bachelors
31, Private,156464, Never_married, Prof_specialty, Own_child, White, Male,0,0,25, United_States,<=50, Bachelors
33, Private,117963, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
33, Private,111363, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
59, ?,372020, Married_civ_spouse, ?, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
43, Private,180609, Married_civ_spouse, Transport_moving, Husband, White, Male,0,0,45, United_States,<=50, Bachelors
43, Private,174575, Divorced, Exec_managerial, Not_in_family, White, Male,0,1564,45, United_States,>50K, Bachelors
57, Private,212448, Divorced, Exec_managerial, Not_in_family, White, Female,0,0,45, United_States,>50K, Bachelors
27, Private,301302, Never_married, Craft_repair, Not_in_family, White, Male,0,0,50, United_States,<=50, Bachelors
34, State_gov,98101, Married_civ_spouse, Exec_managerial, Husband, White, Male,7688,0,45, ?,>50K, Bachelors
25, Private,86872, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,55, United_States,>50K, Bachelors
52, Self_emp_inc,132178, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,50, United_States,>50K, Bachelors
50, State_gov,288353, Married_civ_spouse, Protective_serv, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
32, State_gov,92003, Married_civ_spouse, Exec_managerial, Wife, White, Female,0,0,40, United_States,>50K, Bachelors
40, Self_emp_not_inc,204116, Married_spouse_absent, Prof_specialty, Not_in_family, White, Female,2174,0,40, United_States,<=50, Bachelors
29, Private,363425, Never_married, Prof_specialty, Not_in_family, White, Male,0,0,40, United_States,<=50, Bachelors
32, Private,132601, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,50, United_States,<=50, Bachelors
24, Private,170070, Never_married, Tech_support, Not_in_family, White, Female,0,0,20, United_States,<=50, Bachelors
30, Private,118551, Married_civ_spouse, Tech_support, Wife, White, Female,0,0,16, United_States,>50K, Bachelors
46, Private,279196, Never_married, Craft_repair, Not_in_family, White, Female,0,0,40, United_States,<=50, Bachelors
28, State_gov,70100, Never_married, Prof_specialty, Not_in_family, White, Male,0,0,20, United_States,<=50, Bachelors
45, Local_gov,164427, Divorced, Prof_specialty, Unmarried, White, Female,0,0,40, United_States,<=50, Bachelors
38, Private,91039, Married_civ_spouse, Sales, Husband, White, Male,15024,0,60, United_States,>50K, Bachelors
33, Private,178107, Never_married, Craft_repair, Own_child, White, Male,0,0,20, United_States,<=50, Bachelors
25, Private,181054, Never_married, Sales, Not_in_family, White, Female,0,0,40, United_States,<=50, Bachelors
24, Private,388093, Never_married, Exec_managerial, Not_in_family, Black, Male,0,0,40, United_States,<=50, Bachelors
34, Private,108116, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,50, United_States,>50K, Bachelors
38, Self_emp_inc,99146, Married_civ_spouse, Exec_managerial, Husband, White, Male,15024,0,80, United_States,>50K, Bachelors
42, Private,221172, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
31, Self_emp_inc,41493, Never_married, Farming_fishing, Not_in_family, White, Female,0,0,45, United_States,<=50, Bachelors
28, Private,114053, Never_married, Transport_moving, Not_in_family, White, Male,0,0,55, United_States,<=50, Bachelors
54, Private,212960, Married_civ_spouse, Sales, Husband, White, Male,0,0,35, United_States,>50K, Bachelors
52, Self_emp_not_inc,334273, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,60, United_States,>50K, Bachelors
29, Private,350162, Married_civ_spouse, Exec_managerial, Wife, White, Male,0,0,40, United_States,>50K, Bachelors
58, Local_gov,283635, Never_married, Prof_specialty, Not_in_family, White, Female,0,0,40, United_States,<=50, Bachelors
31, Self_emp_not_inc,340939, Never_married, Tech_support, Not_in_family, White, Male,0,0,40, United_States,<=50, Bachelors
57, Self_emp_inc,103948, Divorced, Prof_specialty, Not_in_family, White, Male,0,0,80, United_States,<=50, Bachelors
31, Private,168387, Married_civ_spouse, Prof_specialty, Husband, White, Male,7688,0,40, Canada,>50K, Bachelors
23, Private,117789, Never_married, Adm_clerical, Own_child, White, Female,0,0,40, United_States,<=50, Bachelors
49, Private,136455, Never_married, Prof_specialty, Not_in_family, White, Female,0,0,45, United_States,<=50, Bachelors
32, Private,239824, Never_married, Tech_support, Not_in_family, White, Male,0,0,40, United_States,<=50, Bachelors
26, Local_gov,208122, Never_married, Prof_specialty, Own_child, White, Male,1055,0,40, United_States,<=50, Bachelors
27, Private,109881, Never_married, Other_service, Own_child, White, Female,0,0,20, United_States,<=50, Bachelors
52, Self_emp_inc,51048, Married_civ_spouse, Sales, Husband, White, Male,0,0,55, United_States,<=50, Bachelors
23, Private,190483, Never_married, Sales, Own_child, White, Female,0,0,20, United_States,<=50, Bachelors
49, Private,268090, Married_civ_spouse, Sales, Husband, White, Male,0,0,26, United_States,>50K, Bachelors
30, Private,103649, Married_civ_spouse, Adm_clerical, Wife, Black, Female,0,0,40, United_States,>50K, Bachelors
21, Private,226181, Never_married, Handlers_cleaners, Not_in_family, White, Male,0,0,40, United_States,<=50, Bachelors
33, Private,175697, Married_civ_spouse, Exec_managerial, Husband, White, Male,15024,0,60, United_States,>50K, Bachelors
30, State_gov,169496, Married_civ_spouse, Tech_support, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
33, Private,182556, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
45, Local_gov,86644, Married_civ_spouse, Prof_specialty, Wife, White, Female,0,0,55, United_States,<=50, Bachelors
23, State_gov,335453, Never_married, Tech_support, Not_in_family, White, Female,0,0,20, United_States,<=50, Bachelors
30, Private,189620, Never_married, Prof_specialty, Own_child, White, Female,0,0,40, Poland,<=50, Bachelors
36, Local_gov,110866, Never_married, Prof_specialty, Not_in_family, White, Male,0,0,50, United_States,<=50, Bachelors
31, Private,243605, Widowed, Sales, Unmarried, White, Female,0,1380,40, Cuba,<=50, Bachelors
44, Private,63042, Divorced, Exec_managerial, Own_child, White, Female,0,0,50, United_States,>50K, Bachelors
28, Private,296450, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,40, United_States,<=50, Bachelors
36, Private,271767, Separated, Prof_specialty, Not_in_family, White, Male,0,0,40, ?,<=50, Bachelors
36, Local_gov,382635, Divorced, Adm_clerical, Unmarried, White, Female,0,0,35, Honduras,<=50, Bachelors
34, Private,217460, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,45, United_States,>50K, Bachelors
29, Private,271328, Never_married, Prof_specialty, Not_in_family, White, Male,4650,0,40, United_States,<=50, Bachelors
42, Private,162140, Married_civ_spouse, Exec_managerial, Husband, White, Male,7298,0,45, United_States,>50K, Bachelors
43, Private,177937, Never_married, Prof_specialty, Not_in_family, White, Male,0,0,40, ?,>50K, Bachelors
43, State_gov,260960, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,50, United_States,<=50, Bachelors
42, Private,279914, Married_civ_spouse, Tech_support, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
42, Local_gov,126319, Married_civ_spouse, Prof_specialty, Wife, White, Female,0,0,40, United_States,>50K, Bachelors
46, State_gov,193047, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,37, United_States,<=50, Bachelors
29, State_gov,356089, Married_civ_spouse, Exec_managerial, Husband, White, Male,7688,0,40, United_States,>50K, Bachelors
22, Private,223515, Never_married, Prof_specialty, Unmarried, White, Male,0,0,20, United_States,<=50, Bachelors
33, Local_gov,120064, Never_married, Prof_specialty, Not_in_family, White, Female,0,0,45, United_States,<=50, Bachelors
51, Private,386773, Never_married, Sales, Not_in_family, White, Male,0,0,55, United_States,>50K, Bachelors
47, Self_emp_not_inc,106252, Divorced, Sales, Not_in_family, White, Female,0,0,50, United_States,<=50, Bachelors
43, Private,226902, Married_civ_spouse, Sales, Husband, White, Male,0,0,50, United_States,>50K, Bachelors
40, Private,237601, Never_married, Sales, Not_in_family, Other, Female,0,0,55, United_States,>50K, Bachelors
41, Self_emp_inc,32185, Married_civ_spouse, Tech_support, Husband, White, Male,0,0,40, United_States,<=50, Bachelors
43, Private,274363, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,1902,40, England,>50K, Bachelors
33, Private,169879, Married_civ_spouse, Prof_specialty, Husband, White, Male,3103,0,47, United_States,>50K, Bachelors
64, Private,270333, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
24, Self_emp_inc,165474, Never_married, Sales, Own_child, White, Male,0,0,40, United_States,<=50, Bachelors
41, Private,180572, Divorced, Prof_specialty, Not_in_family, White, Female,0,0,50, United_States,>50K, Bachelors
24, Private,321435, Never_married, Exec_managerial, Not_in_family, White, Male,0,0,50, United_States,<=50, Bachelors
62, Local_gov,291175, Widowed, Prof_specialty, Not_in_family, White, Female,0,0,48, United_States,<=50, Bachelors
37, Private,86551, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,45, United_States,>50K, Bachelors
39, Private,138192, Married_civ_spouse, Craft_repair, Husband, White, Male,0,0,40, United_States,<=50, Bachelors
26, Private,96467, Never_married, Prof_specialty, Not_in_family, White, Female,0,0,40, United_States,<=50, Bachelors
34, Private,188798, Never_married, Prof_specialty, Own_child, White, Female,0,0,40, United_States,<=50, Bachelors
49, Private,38563, Never_married, Exec_managerial, Not_in_family, White, Female,0,0,56, United_States,>50K, Bachelors
29, Self_emp_not_inc,266855, Separated, Prof_specialty, Own_child, White, Male,0,0,40, United_States,<=50, Bachelors
44, Private,48087, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
51, Self_emp_not_inc,160724, Married_civ_spouse, Sales, Husband, Asian_Pac_Islander, Male,0,2415,40, China,>50K, Bachelors
41, Private,194636, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,60, United_States,>50K, Bachelors
32, Private,270335, Married_civ_spouse, Adm_clerical, Other_relative, White, Male,0,0,40, Philippines,>50K, Bachelors
38, Private,95336, Married_civ_spouse, Sales, Husband, White, Male,0,0,50, United_States,>50K, Bachelors
23, Private,205865, Never_married, Exec_managerial, Own_child, White, Male,0,0,28, United_States,<=50, Bachelors
35, Self_emp_not_inc,372525, Never_married, Exec_managerial, Not_in_family, White, Male,0,0,40, United_States,<=50, Bachelors
37, Private,183800, Married_civ_spouse, Prof_specialty, Husband, White, Male,7688,0,50, United_States,>50K, Bachelors
22, Private,226508, Never_married, Exec_managerial, Own_child, White, Female,0,0,50, United_States,<=50, Bachelors
30, Private,87418, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,45, United_States,>50K, Bachelors
24, Private,202570, Never_married, Prof_specialty, Own_child, Black, Male,0,0,15, United_States,<=50, Bachelors
39, Private,202027, Married_civ_spouse, Exec_managerial, Husband, White, Male,15024,0,45, United_States,>50K, Bachelors
31, Private,111567, Never_married, Sales, Not_in_family, White, Male,0,0,40, United_States,>50K, Bachelors
36, Self_emp_inc,108293, Married_civ_spouse, Exec_managerial, Wife, White, Female,0,1977,45, United_States,>50K, Bachelors
33, Self_emp_not_inc,123424, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
32, Private,288273, Married_civ_spouse, Craft_repair, Husband, White, Male,0,0,70, Mexico,<=50, Bachelors
48, Private,164966, Married_civ_spouse, Exec_managerial, Husband, Asian_Pac_Islander, Male,0,0,40, India,>50K, Bachelors
28, Private,161538, Never_married, Tech_support, Not_in_family, White, Female,0,0,35, United_States,<=50, Bachelors
67, Private,105252, Widowed, Exec_managerial, Not_in_family, White, Male,0,2392,40, United_States,>50K, Bachelors
46, Private,187370, Never_married, Sales, Not_in_family, White, Male,0,1504,40, United_States,<=50, Bachelors
48, Federal_gov,33109, Divorced, Exec_managerial, Unmarried, White, Male,0,0,58, United_States,>50K, Bachelors
39, Self_emp_inc,329980, Married_civ_spouse, Exec_managerial, Husband, White, Male,15024,0,50, United_States,>50K, Bachelors
23, Local_gov,115244, Never_married, Prof_specialty, Own_child, White, Female,0,0,60, United_States,<=50, Bachelors
58, Private,356067, Married_civ_spouse, Adm_clerical, Husband, White, Male,0,0,40, United_States,<=50, Bachelors
30, Private,201624, Never_married, Prof_specialty, Not_in_family, Black, Male,0,0,45, ?,<=50, Bachelors
44, Private,167005, Married_civ_spouse, Exec_managerial, Husband, White, Male,7688,0,60, United_States,>50K, Bachelors
36, Private,156667, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,1902,50, United_States,>50K, Bachelors
53, Self_emp_not_inc,263925, Married_civ_spouse, Sales, Husband, White, Male,0,0,40, Canada,>50K, Bachelors
30, Private,296453, Married_civ_spouse, Adm_clerical, Husband, White, Male,7298,0,40, United_States,>50K, Bachelors
32, Private,87643, Married_civ_spouse, Sales, Husband, White, Male,0,0,40, United_States,<=50, Bachelors
30, Private,181651, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,50, United_States,<=50, Bachelors
22, Local_gov,34029, Never_married, Prof_specialty, Own_child, White, Female,0,0,20, United_States,<=50, Bachelors
27, Private,137645, Never_married, Sales, Not_in_family, Black, Female,0,1590,40, United_States,<=50, Bachelors
22, Private,191342, Never_married, Sales, Own_child, Asian_Pac_Islander, Male,0,0,50, Taiwan,<=50, Bachelors
43, Private,173728, Separated, Prof_specialty, Unmarried, White, Female,0,0,40, United_States,<=50, Bachelors
29, Private,201954, Never_married, Exec_managerial, Not_in_family, White, Male,0,0,35, United_States,<=50, Bachelors
44, Self_emp_not_inc,120539, Never_married, Sales, Not_in_family, White, Male,0,0,50, United_States,>50K, Bachelors
22, Self_emp_not_inc,361280, Never_married, Prof_specialty, Own_child, Asian_Pac_Islander, Male,0,0,20, India,<=50, Bachelors
45, Self_emp_inc,149865, Married_civ_spouse, Machine_op_inspct, Husband, White, Male,0,0,60, United_States,>50K, Bachelors
41, Private,118619, Married_civ_spouse, Exec_managerial, Husband, Black, Male,0,0,50, United_States,<=50, Bachelors
31, Private,51259, Never_married, Prof_specialty, Not_in_family, White, Male,0,0,47, United_States,<=50, Bachelors
41, Private,118212, Married_civ_spouse, Craft_repair, Husband, White, Male,3103,0,40, United_States,>50K, Bachelors
33, Private,35378, Married_civ_spouse, Sales, Wife, White, Female,0,0,45, United_States,>50K, Bachelors
37, State_gov,60227, Never_married, Adm_clerical, Not_in_family, White, Male,0,0,38, United_States,<=50, Bachelors
58, Local_gov,205267, Married_civ_spouse, Prof_specialty, Wife, White, Female,0,0,40, United_States,>50K, Bachelors
53, Private,288020, Married_civ_spouse, Prof_specialty, Husband, Asian_Pac_Islander, Male,0,0,40, Japan,<=50, Bachelors
36, Private,112497, Married_civ_spouse, Tech_support, Husband, White, Male,0,0,40, United_States,<=50, Bachelors
28, Private,294936, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,45, United_States,<=50, Bachelors
40, Private,214010, Never_married, Other_service, Not_in_family, White, Male,0,0,37, United_States,<=50, Bachelors
26, Private,227332, Never_married, Transport_moving, Unmarried, Asian_Pac_Islander, Male,0,0,40, ?,<=50, Bachelors
33, Private,114691, Married_civ_spouse, Sales, Husband, White, Male,0,0,60, United_States,>50K, Bachelors
50, Private,133963, Married_civ_spouse, Prof_specialty, Wife, White, Female,0,1977,40, United_States,>50K, Bachelors
65, Private,350498, Married_civ_spouse, Adm_clerical, Husband, White, Male,10605,0,20, United_States,>50K, Bachelors
40, Private,216237, Divorced, Exec_managerial, Not_in_family, White, Female,0,0,45, United_States,>50K, Bachelors
36, Private,416745, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,40, United_States,<=50, Bachelors
24, State_gov,191269, Never_married, Adm_clerical, Not_in_family, White, Female,0,0,65, United_States,<=50, Bachelors
27, Local_gov,247507, Never_married, Prof_specialty, Own_child, White, Male,0,0,35, United_States,<=50, Bachelors
28, Private,444304, Married_civ_spouse, Tech_support, Husband, White, Male,0,0,40, United_States,<=50, Bachelors
49, Local_gov,116892, Divorced, Prof_specialty, Not_in_family, Black, Female,0,0,40, United_States,<=50, Bachelors
30, Local_gov,235271, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,50, United_States,>50K, Bachelors
37, Private,166497, Divorced, Craft_repair, Not_in_family, White, Male,0,0,35, United_States,<=50, Bachelors
44, Private,344060, Never_married, Other_service, Not_in_family, White, Male,0,0,40, United_States,>50K, Bachelors
38, Private,79619, Married_civ_spouse, Sales, Husband, White, Male,0,0,42, United_States,>50K, Bachelors
63, ?,150389, Widowed, ?, Not_in_family, White, Female,0,0,40, United_States,>50K, Bachelors
31, Private,231263, Divorced, Exec_managerial, Not_in_family, White, Male,4650,0,45, United_States,<=50, Bachelors
36, Private,354078, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,60, United_States,>50K, Bachelors
46, Private,265266, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,1902,40, United_States,>50K, Bachelors
27, Private,175034, Never_married, Adm_clerical, Not_in_family, White, Female,0,0,40, United_States,<=50, Bachelors
38, Private,65466, Never_married, Adm_clerical, Not_in_family, White, Female,0,0,50, United_States,<=50, Bachelors
43, Federal_gov,369468, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
38, Private,189623, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,1887,40, United_States,>50K, Bachelors
44, Local_gov,409505, Divorced, Protective_serv, Not_in_family, White, Male,0,0,40, United_States,<=50, Bachelors
47, Private,200734, Never_married, Exec_managerial, Unmarried, Black, Female,0,0,45, United_States,<=50, Bachelors
51, Local_gov,152754, Married_civ_spouse, Adm_clerical, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
46, Private,129007, Married_civ_spouse, Sales, Husband, White, Male,0,1977,40, United_States,>50K, Bachelors
67, Private,171584, Married_civ_spouse, Protective_serv, Husband, White, Male,6514,0,7, United_States,>50K, Bachelors
47, Self_emp_not_inc,370119, Married_civ_spouse, Sales, Husband, White, Male,15024,0,50, United_States,>50K, Bachelors
37, Private,37238, Never_married, Exec_managerial, Not_in_family, White, Male,0,0,45, United_States,<=50, Bachelors
37, Private,32668, Married_civ_spouse, Machine_op_inspct, Husband, White, Male,0,0,43, United_States,>50K, Bachelors
45, Federal_gov,283037, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,40, United_States,<=50, Bachelors
28, Private,192932, Never_married, Prof_specialty, Not_in_family, White, Female,0,0,40, United_States,<=50, Bachelors
41, State_gov,144928, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
48, Private,55237, Married_civ_spouse, Craft_repair, Husband, White, Male,0,0,45, United_States,>50K, Bachelors
39, Private,174938, Never_married, Prof_specialty, Not_in_family, White, Male,0,0,40, United_States,<=50, Bachelors
71, Private,269708, Divorced, Tech_support, Own_child, White, Female,2329,0,16, United_States,<=50, Bachelors
35, Private,184117, Never_married, Adm_clerical, Own_child, White, Female,0,0,40, United_States,<=50, Bachelors
61, Self_emp_inc,134768, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,50, Germany,>50K, Bachelors
36, Private,153078, Married_civ_spouse, Exec_managerial, Husband, Asian_Pac_Islander, Male,0,0,60, ?,>50K, Bachelors
32, Self_emp_inc,199765, Married_civ_spouse, Craft_repair, Husband, White, Male,7688,0,50, United_States,>50K, Bachelors
31, Private,42900, Never_married, Tech_support, Not_in_family, White, Male,0,0,37, United_States,<=50, Bachelors
46, Self_emp_inc,98929, Married_civ_spouse, Sales, Husband, White, Male,0,0,52, United_States,<=50, Bachelors
32, Private,97429, Divorced, Exec_managerial, Unmarried, White, Female,0,0,40, Canada,<=50, Bachelors
23, Private,37072, Never_married, Sales, Not_in_family, White, Male,0,0,50, United_States,<=50, Bachelors
25, Local_gov,163101, Never_married, Prof_specialty, Not_in_family, White, Male,0,0,45, United_States,<=50, Bachelors
27, Private,29904, Never_married, Tech_support, Not_in_family, White, Female,0,0,40, United_States,<=50, Bachelors
39, Private,24342, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,40, United_States,>50K, Bachelors
31, Private,179186, Married_civ_spouse, Sales, Husband, Black, Male,0,0,90, United_States,>50K, Bachelors
31, Private,127610, Married_civ_spouse, Prof_specialty, Wife, White, Female,0,0,40, United_States,>50K, Bachelors
45, Self_emp_inc,36228, Married_civ_spouse, Farming_fishing, Husband, White, Male,4386,0,35, United_States,>50K, Bachelors
28, Private,441620, Never_married, Other_service, Not_in_family, White, Male,0,0,43, Mexico,<=50, Bachelors
25, Private,98283, Never_married, Prof_specialty, Own_child, Asian_Pac_Islander, Male,0,0,40, United_States,<=50, Bachelors
28, Local_gov,216481, Never_married, Prof_specialty, Not_in_family, White, Female,0,0,40, United_States,<=50, Bachelors
43, Local_gov,293535, Married_civ_spouse, Prof_specialty, Husband, Black, Male,0,0,40, United_States,>50K, Bachelors
35, Private,187119, Divorced, Sales, Not_in_family, White, Female,0,1980,65, United_States,<=50, Bachelors
37, Self_emp_inc,395831, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,80, United_States,>50K, Bachelors
64, Self_emp_inc,179436, Married_civ_spouse, Exec_managerial, Husband, White, Male,15024,0,55, United_States,>50K, Bachelors
37, Self_emp_inc,217054, Married_civ_spouse, Prof_specialty, Husband, White, Male,0,0,35, United_States,>50K, Bachelors
59, Self_emp_inc,125000, Married_civ_spouse, Exec_managerial, Husband, White, Male,0,0,40, England,>50K, Bachelors
